NFL Week 1 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
CAR 20 @ DEN 21,9/8/16,1,-3,PUSH,-1,3,DEN
BUF 7 @ BAL 13,9/11/16,2.5,3,BAL,-2.5,-3,BAL
GB 27 @ JAC 23,9/11/16,-4,-3.5,PUSH,4,3.5,GB
SD 27 @ KC 33,9/11/16,7,6.5,SD,-7,-6.5,SD
OAK 35 @ NO 34,9/11/16,1,2.5,OAK,-1,-2.5,OAK
CHI 14 @ HOU 23,9/11/16,5.5,5.5,HOU,-5.5,-5.5,HOU
CLE 10 @ PHI 29,9/11/16,7,3.5,PHI,-7,-3.5,PHI
MIN 25 @ TEN 16,9/11/16,-3,-2.5,MIN,3,2.5,MIN
TB 31 @ ATL 24,9/11/16,3,2.5,TB,-3,-2.5,TB
CIN 23 @ NYJ 22,9/11/16,0,1,CIN,0,-1,CIN
MIA 10 @ SEA 12,9/11/16,7.5,10.5,MIA,-7.5,-10.5,MIA
NYG 20 @ DAL 19,9/11/16,3.5,1,NYG,-3.5,-1,NYG
DET 39 @ IND 35,9/11/16,5.5,2.5,DET,-5.5,-2.5,DET
NE 23 @ ARI 21,9/11/16,5.5,9,NE,-5.5,-9,NE
PIT 38 @ WAS 16,9/12/16,-3,-2.5,PIT,3,2.5,PIT
LA 0 @ SF 28,9/12/16,-2,-2.5,SF,2,2.5,SF
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2015 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
PIT 21 @ NE 28,9/10/15,2.5,7.5,NE,-2.5,-7.5,PIT
KC 27 @ HOU 20,9/13/15,1.5,-1,KC,-1.5,1,KC
IND 14 @ BUF 27,9/13/15,-1.5,-1,BUF,1.5,1,BUF
